Цена за квадрат,Этаж,Общая,Метро,Цена,Этажность здания,Широта дома,Долгота дома,Широта метро,Долгота метро,До центра,До метро,Азимут
752522.0,9,99.52,Парк Победы,74890993.0,10,55.73134229999999,37.5149497,55.73588480000001,37.5174924,7.108387531833089,0.5303741348747042,9.433
279208.0,4,60.6,Лианозово,16920000.0,16,55.89412609999999,37.5214384,55.897353,37.553153,16.845703329609105,2.0163530279949025,311.844
2117647.0,5,139.9,Смоленская,296258823.0,5,55.748779,37.5897249,55.74726099999999,37.581945,2.0376209517860158,0.5169702114649046,6.947
548263.0,3,129.5,Минская,71000000.0,14,55.7245244,37.4967573,55.724791,37.496755,8.450356162133271,0.02968274652579658,10.497
445920.0,6,52.7,Беломорская,23500000.0,20,55.8698254,37.4577609,55.8640574,37.4638078,16.49998552065813,0.7454860915059512,330.591
209990.0,4,96.1,Царицыно,20180000.0,13,55.6091766,37.66674100000001,55.620503,37.6702192,16.334048446650936,1.2799267528102682,111.744
262371.0,2,77.6,Бутырская,20360000.0,5,55.8131501,37.5942214,55.813344,37.602661,6.840764167724769,0.5295466559646922,299.625
221053.0,12,51.3,Пражская,11340000.0,12,55.61133100000001,37.5827295,55.61237999999999,37.604476,16.021301710306112,1.375359006156983,71.188
220788.0,3,73.6,Красногвардейская,16250000.0,17,55.62027,37.758885,55.6140855,37.7443026,17.190642648818496,1.1481778295726022,142.531
216851.0,10,90.2,Царицыно,19560000.0,11,55.6053973,37.6493668,55.620503,37.6702192,16.595747068955507,2.1342546592893945,103.529
355350.0,2,75.7,Савеловская,26900000.0,14,55.80208409999999,37.5981254,55.792585,37.588966,5.586729492206067,1.203559758506114,300.823
941176.0,4,154.2,Арбатская,145129412.0,8,55.7499821,37.5927893,55.75182599999999,37.600904,1.8184036138287465,0.5493518295575325,5.786
436590.0,14,67.34,Беломорская,29400000.0,20,55.8695283,37.4580541,55.8640574,37.4638078,16.462662961069867,0.7076694567332628,330.61
532900.0,52,43.45,Марьина роща,23154505.0,55,55.7980884,37.6242889,55.7869121,37.6089095,4.958011886280406,1.5744977875872073,264.732
304700.0,12,76.6,Крымская,23340000.0,17,55.7032494,37.6202743,55.68999299999999,37.605212,5.605523796074385,1.75367766516376,88.898
230283.0,1,45.9,Шипиловская,10570000.0,9,55.619724,37.7318694,55.621074,37.743512,16.454456431372027,0.7487585810201755,136.249
186000.0,14,81.0,Царицыно,15066000.0,45,55.5796652,37.6711556,55.620503,37.6702192,19.619820915471294,4.547040796177911,109.947
187500.0,17,75.2,Царицыно,14100000.0,17,55.5796652,37.6711556,55.620503,37.6702192,19.619820915471294,4.547040796177911,109.947
203460.0,2,86.7,Царицыно,17640000.0,11,55.6091766,37.66674100000001,55.620503,37.6702192,16.334048446650936,1.2799267528102682,111.744
299776.0,42,128.5,Ростокино,38521269.0,56,55.8357197,37.6570564,55.8362298,37.6576278,9.418676417800812,0.0671367317031796,241.04
337500.0,2,82.97,Марьина роща,28002375.0,55,55.7980884,37.6242889,55.7869121,37.6089095,4.958011886280406,1.5744977875872073,264.732
216569.0,7,85.7,Покровское,18560000.0,15,55.6091766,37.66674100000001,55.60320609999999,37.632144,16.334048446650936,2.2795704581800145,111.744
376500.0,46,112.09,Марьина роща,42201885.0,55,55.7980884,37.6242889,55.7869121,37.6089095,4.958011886280406,1.5744977875872073,264.732
320323.0,7,43.3,Коломенская,13870000.0,20,55.682621,37.65030170000001,55.678261,37.663856,8.113304803246836,0.981151446014618,117.488
247234.0,33,143.5,Ростокино,35478076.0,56,55.8357197,37.6570564,55.8362298,37.6576278,9.418676417800812,0.0671367317031796,241.04
1000000.0,2,72.9,Смоленская,72900000.0,5,55.748779,37.5897249,55.74726099999999,37.581945,2.0376209517860158,0.5169702114649046,6.947
649077.0,71,190.7,Выставочная,123778983.0,85,55.7497139,37.53422,55.750223,37.541479,5.468159971654892,0.4593394250949634,2.028
370500.0,45,64.16,Марьина роща,23771280.0,55,55.7980884,37.6242889,55.7869121,37.6089095,4.958011886280406,1.5744977875872073,264.732
381879.0,21,57.54,Дмитровская,21973317.0,36,55.8007989,37.5755736,55.80749789999999,37.5814807,5.979790135396319,0.8327737922136262,320.569
416705.0,3,43.1,Спортивная,17960000.0,6,55.7321246,37.5716455,55.723389,37.56427,3.915988481836097,1.0773515277883594,19.001
348837.0,11,38.7,Пражская,13500000.0,16,55.6077324,37.5838073,55.61237999999999,37.604476,16.407708318252908,1.4015463166393394,72.101
223759.0,7,94.7,Свиблово,21190000.0,12,55.8824593,37.7192047,55.8551031,37.6510593,15.61169573585903,5.2418784261112465,226.135
1003934.0,8,65.43,Парк Победы,65687430.0,11,55.73134229999999,37.5149497,55.73588480000001,37.5174924,7.108387531833089,0.5303741348747042,9.433
615264.0,59,80.6,Выставочная,49590278.0,85,55.7497139,37.53422,55.750223,37.541479,5.468159971654892,0.4593394250949634,2.028
430300.0,2,85.3,Спартак,36704590.0,22,55.8265766,37.45232439999999,55.818146,37.435894,13.342663492138627,1.3934226998784656,341.089
769231.0,2,13.0,Выставочная,10000000.0,5,55.75638799999999,37.548756,55.750223,37.541479,4.5485661734918414,0.8245687503550423,358.247
304755.0,3,73.6,Фонвизинская,22430000.0,23,55.8215467,37.5921678,55.823139,37.587435,7.7792715645329995,0.3455841834128763,298.219
218860.0,25,62.46,Новохохловская,13670000.0,33,55.7279644,37.711343,55.7240051,37.7165642,6.349818060366888,0.5494962949939286,167.331
420000.0,22,93.16,Владыкино,39127200.0,31,55.8300509,37.5928875,55.848161,37.5904553,8.693581601438405,2.0221083659007597,294.945
472500.0,9,49.9,Спартак,23577750.0,22,55.8265766,37.45232439999999,55.818146,37.435894,13.342663492138627,1.3934226998784656,341.089
219821.0,18,62.46,Новохохловская,13730000.0,24,55.7279644,37.711343,55.7240051,37.7165642,6.349818060366888,0.5494962949939286,167.331
277924.0,6,76.1,Отрадное,21150000.0,22,55.8729467,37.5913071,55.863397,37.604619,13.418456499451885,1.3509474385505775,287.488
369723.0,2,68.7,Ботанический сад,25400000.0,19,55.852034,37.6250056,55.845341,37.63871,10.962858707271154,1.1367280646808557,267.112
